Timestamp,_YARDLEY:F,_YARDLEY:DF,_YARDLEY:S,_YARDLEY-PM1:UTKV,_YARDLEY-PA1:UTKVH,_VALDES:F,_VALDES:DF,_VALDES:S,_OVERBYE:UTKF,_OVERBYE:UTKDF,_OVERBYE:UTKS,_OVERBYE-PM1:UTKV,_OVERBYE-PA1:UTKVH,_VALDES-PM1:UTKV,_VALDES-PA1:UTKVH,_STATIONA:D1,_STATIONA:D1_Quality,_STATIONA:F,_STATIONA:F_Quality,_STATIONA:DF,_STATIONA:DF_Quality,_STATIONA:S,_STATIONA:S_Quality,_STATIONA-PM1:V,_STATIONA-PM1:V_Quality,_STATIONA-PA1:VH,_STATIONA-PA1:VH_Quality,_STATIONA-PM2:I,_STATIONA-PM2:I_Quality,_STATIONA-PA2:IH,_STATIONA-PA2:IH_Quality
16:15.0,59.9964,0,0,123.631,-2.531632,59.9962,0,0,59.9964,0,0,123.069,-92.4459,124.907,-53.98324,,,,,,,,,,,,,,,,
16:15.0,59.9973,0,0,123.631,-2.623305,59.9969,0,0,59.9977,0,0,123.069,-92.52612,124.885,-54.09783,,,,,,,,,,,,,,,,
16:15.0,59.996,0,0,123.61,-2.766544,59.9957,0,0,59.9963,0,0,123.048,-92.65789,124.885,-54.25253,,,,,,,,,,,,,,,,
16:15.0,59.996,0,0,123.61,-2.932702,59.9955,0,0,59.9964,0,0,123.048,-92.80113,124.863,-54.42442,0,Good,59.996,Good,0,Good,0,Good,113.0262,Good,54.37236,Good,0.1518148,Good,23.86018,Good
16:15.0,59.9949,0,0,123.61,-3.087401,59.995,0,0,59.9942,0,0,123.069,-92.98448,124.885,-54.57339,,,,,,,,,,,,,,,,
16:15.0,59.9964,0,0,123.588,-3.23637,59.9964,0,0,59.9968,0,0,123.069,-93.12199,124.863,-54.7109,,,,,,,,,,,,,,,,
16:15.0,59.9953,0,0,123.545,-3.396798,59.9952,0,0,59.9956,0,0,123.004,-93.28242,124.842,-54.87706,,,,,,,,,,,,,,,,
16:15.0,59.9955,0,0,123.545,-3.545767,59.9956,0,0,59.9955,0,0,123.026,-93.44858,124.863,-55.03748,,,,,,,,,,,,,,,,
16:15.0,59.9957,0,0,123.566,-3.694736,59.9953,0,0,59.9959,0,0,123.048,-93.56316,124.842,-55.19218,0,Good,59.996,Good,0,Good,0,Good,113.0387,Good,53.65974,Good,0.1518148,Good,23.86018,Good
16:16.0,59.9964,0,0,123.566,-3.803598,59.9967,0,0,59.9962,0,0,123.048,-93.67203,124.842,-55.29531,,,,,,,,,,,,,,,,
16:16.0,59.9963,0,0,123.566,-3.941108,59.9959,0,0,59.9966,0,0,123.048,-93.79808,124.842,-55.44428,,,,,,,,,,,,,,,,
16:16.0,59.9964,0,0,123.588,-4.067159,59.9969,0,0,59.9962,0,0,123.069,-93.93559,124.82,-55.55315,,,,,,,,,,,,,,,,
16:16.0,59.9962,0,0,123.545,-4.18175,59.9959,0,0,59.9962,0,0,123.026,-94.05018,124.798,-55.68493,,,,,,,,,,,,,,,,
16:16.0,59.9962,0,0,123.566,-4.307801,59.9967,0,0,59.9962,0,0,123.048,-94.1705,124.82,-55.79952,0,Good,59.997,Good,0,Good,0,Good,113.0208,Good,53.04604,Good,0.1532171,Good,22.54306,Good
16:16.0,59.9968,0,0,123.545,-4.445311,59.997,0,0,59.9963,0,0,123.026,-94.31947,124.842,-55.89119,,,,,,,,,,,,,,,,
16:16.0,59.9982,0,0,123.588,-4.508336,59.9977,0,0,59.9976,0,0,123.069,-94.39968,124.885,-55.95995,,,,,,,,,,,,,,,,
16:16.0,59.9988,0,0,123.588,-4.571362,59.9983,0,0,59.9982,0,0,123.069,-94.44552,124.885,-56.0287,,,,,,,,,,,,,,,,
16:16.0,59.9995,0,0,123.588,-4.605739,59.9988,0,0,59.9988,0,0,123.091,-94.52,124.907,-56.06308,,,,,,,,,,,,,,,,
16:16.0,59.998,0,0,123.588,-4.668764,59.9988,0,0,59.9976,0,0,123.069,-94.60022,124.885,-56.10318,0,Good,59.998,Good,0,Good,0,Good,113.0233,Good,52.74583,Good,0.1532171,Good,22.54306,Good
16:17.0,59.9979,0,0,123.588,-4.737519,59.999,0,0,59.9986,0,0,123.069,-94.65752,124.863,-56.14902,,,,,,,,,,,,,,,,
16:17.0,59.998,0,0,123.566,-4.800544,59.9979,0,0,59.9984,0,0,123.069,-94.70908,124.842,-56.21205,,,,,,,,,,,,,,,,
16:17.0,59.9985,0,0,123.545,-4.86357,59.9987,0,0,59.9984,0,0,123.048,-94.77211,124.798,-56.26361,,,,,,,,,,,,,,,,
16:17.0,59.9962,0,0,123.523,-4.972432,59.9963,0,0,59.9962,0,0,123.026,-94.89243,124.82,-56.3782,,,,,,,,,,,,,,,,
16:17.0,59.9983,0,0,123.545,-5.046916,59.9977,0,0,59.9991,0,0,123.048,-94.93826,124.798,-56.47561,0,Good,59.997,Good,-0.02,Good,0,Good,112.9513,Good,52.28895,Good,0.1532171,Good,22.54306,Good
16:17.0,59.9956,0,0,123.523,-5.178697,59.9961,0,0,59.996,0,0,123.026,-95.0815,124.82,-56.58447,,,,,,,,,,,,,,,,
16:17.0,59.9963,0,0,123.523,-5.321936,59.9966,0,0,59.9973,0,0,123.048,-95.20756,124.82,-56.71052,,,,,,,,,,,,,,,,
16:17.0,59.9963,0,0,123.502,-5.447987,59.9959,0,0,59.9962,0,0,123.026,-95.31068,124.82,-56.82511,,,,,,,,,,,,,,,,
16:17.0,59.9969,0,0,123.502,-5.579767,59.9952,0,0,59.9968,0,0,123.004,-95.47684,124.777,-56.997,,,,,,,,,,,,,,,,
16:18.0,59.9956,0,0,123.502,-5.745925,59.9957,0,0,59.9957,0,0,123.026,-95.63155,124.755,-57.15743,0,Good,59.996,Good,0.01,Good,0,Good,112.9452,Good,51.5998,Good,0.1522134,Good,21.61478,Good
16:18.0,59.996,0,0,123.48,-5.866246,59.9952,0,0,59.9956,0,0,123.026,-95.76332,124.755,-57.31213,,,,,,,,,,,,,,,,
16:18.0,59.9949,0,0,123.502,-6.072511,59.9954,0,0,59.9948,0,0,123.048,-95.96959,124.798,-57.48974,,,,,,,,,,,,,,,,
16:18.0,59.9961,0,0,123.502,-6.210021,59.9959,0,0,59.9968,0,0,123.069,-96.08418,124.82,-57.63871,,,,,,,,,,,,,,,,
16:18.0,59.9966,0,0,123.545,-6.336071,59.9954,0,0,59.9953,0,0,123.091,-96.22742,124.863,-57.78768,,,,,,,,,,,,,,,,
16:18.0,59.9964,0,0,123.566,-6.479311,59.9963,0,0,59.9965,0,0,123.113,-96.38785,124.885,-57.92519,0,Good,59.996,Good,0,Good,0,Good,113.0014,Good,50.86083,Good,0.1556864,Good,22.16635,Good
16:18.0,59.9968,0,0,123.545,-6.62255,59.9966,0,0,59.9972,0,0,123.091,-96.53109,124.907,-58.03978,,,,,,,,,,,,,,,,
16:18.0,59.9963,0,0,123.566,-6.742871,59.9968,0,0,59.9963,0,0,123.113,-96.69724,124.885,-58.16583,,,,,,,,,,,,,,,,
16:18.0,59.9976,0,0,123.588,-6.857463,59.9975,0,0,59.9983,0,0,123.156,-96.80038,124.907,-58.28043,,,,,,,,,,,,,,,,
16:18.0,59.997,0,0,123.566,-6.983514,59.9963,0,0,59.9971,0,0,123.134,-96.89778,124.885,-58.41793,,,,,,,,,,,,,,,,
16:18.0,59.9968,0,0,123.566,-7.109564,59.9965,0,0,59.9968,0,0,123.134,-97.01237,124.907,-58.54972,0,Good,59.997,Good,-0.01,Good,0,Good,113.0056,Good,50.2491,Good,0.1546988,Good,21.25051,Good
16:19.0,59.9966,0,0,123.545,-7.229886,59.9956,0,0,59.9969,0,0,123.113,-97.12123,124.885,-58.69296,,,,,,,,,,,,,,,,
16:19.0,59.996,0,0,123.545,-7.396043,59.9968,0,0,59.9969,0,0,123.113,-97.25874,124.863,-58.84192,,,,,,,,,,,,,,,,
16:19.0,59.9958,0,0,123.523,-7.539283,59.9959,0,0,59.9962,0,0,123.113,-97.40771,124.842,-58.98516,,,,,,,,,,,,,,,,
16:19.0,59.9962,0,0,123.523,-7.648145,59.9969,0,0,59.9964,0,0,123.091,-97.51085,124.798,-59.08829,,,,,,,,,,,,,,,,
16:19.0,59.9964,0,0,123.502,-7.779925,59.9968,0,0,59.9969,0,0,123.091,-97.64835,124.777,-59.22008,0,Good,59.996,Good,-0.01,Good,0,Good,112.9536,Good,49.5551,Good,0.1528444,Good,19.38452,Good
16:19.0,59.9955,0,0,123.502,-7.940353,59.9957,0,0,59.9956,0,0,123.091,-97.82597,124.755,-59.35186,,,,,,,,,,,,,,,,
16:19.0,59.9967,0,0,123.458,-8.077863,59.9963,0,0,59.9966,0,0,123.069,-97.95203,124.734,-59.50082,,,,,,,,,,,,,,,,
16:19.0,59.996,0,0,123.48,-8.232562,59.996,0,0,59.9958,0,0,123.069,-98.11245,124.777,-59.63834,,,,,,,,,,,,,,,,
16:19.0,59.9968,0,0,123.523,-8.375801,59.9966,0,0,59.9974,0,0,123.113,-98.23277,124.842,-59.78157,,,,,,,,,,,,,,,,
16:19.0,59.9962,0,0,123.545,-8.501852,59.9964,0,0,59.9964,0,0,123.113,-98.35883,124.863,-59.90763,0,Good,59.997,Good,0.01,Good,0,Good,113.0174,Good,48.90445,Good,0.151156,Good,17.47477,Good
16:20.0,59.9978,0,0,123.566,-8.604984,59.997,0,0,59.9977,0,0,123.156,-98.43903,124.928,-60.02222,,,,,,,,,,,,,,,,
16:20.0,59.9992,0,0,123.566,-8.679469,59.9984,0,0,59.9984,0,0,123.156,-98.53071,124.95,-60.0967,,,,,,,,,,,,,,,,
16:20.0,59.9995,0,0,123.566,-8.719576,59.9988,0,0,59.9994,0,0,123.156,-98.57082,124.95,-60.13681,,,,,,,,,,,,,,,,
16:20.0,59.9994,0,0,123.523,-8.782601,59.9995,0,0,59.9995,0,0,123.113,-98.62811,124.907,-60.18837,,,,,,,,,,,,,,,,
16:20.0,59.9984,0,0,123.502,-8.862815,59.9981,0,0,59.998,0,0,123.113,-98.68541,124.863,-60.23994,0,Good,59.998,Good,-0.01,Good,0,Good,112.929,Good,48.58105,Good,0.1519791,Good,18.43495,Good
16:20.0,59.9981,0,0,123.502,-8.954489,59.9987,0,0,59.9974,0,0,123.091,-98.80573,124.863,-60.28005,,,,,,,,,,,,,,,,
16:20.0,59.9981,0,0,123.458,-9.028973,59.9976,0,0,59.9984,0,0,123.091,-98.8573,124.842,-60.37172,,,,,,,,,,,,,,,,
16:20.0,59.997,0,0,123.437,-9.137835,59.9966,0,0,59.9963,0,0,123.026,-98.98335,124.798,-60.49204,,,,,,,,,,,,,,,,
16:20.0,59.9972,0,0,123.437,-9.263885,59.9971,0,0,59.997,0,0,123.048,-99.11513,124.82,-60.62955,,,,,,,,,,,,,,,,
16:21.0,59.9967,0,0,123.437,-9.384207,59.9966,0,0,59.9976,0,0,123.004,-99.21826,124.798,-60.74414,0,Good,59.997,Good,0.01,Good,0,Good,112.9284,Good,47.99939,Good,0.1537048,Good,17.1759,Good
16:21.0,59.9969,0,0,123.415,-9.510258,59.9959,0,0,59.9969,0,0,122.983,-99.32712,124.798,-60.88165,,,,,,,,,,,,,,,,
16:21.0,59.9961,0,0,123.437,-9.659226,59.996,0,0,59.9961,0,0,123.004,-99.46463,124.82,-61.03062,,,,,,,,,,,,,,,,
16:21.0,59.9971,0,0,123.437,-9.768088,59.9962,0,0,59.9971,0,0,123.004,-99.58495,124.842,-61.15667,,,,,,,,,,,,,,,,
